School Year,Season,Sex,Division,Event,Qualifying Standard
2025-2026,fall,M,Division II State,Diving,192 x 2
2025-2026,fall,M,Division II State,100 Butterfly,59.00
2025-2026,fall,M,Division II State,100 Freestyle,52.67
2025-2026,fall,M,Division II State,500 Freestyle,5:23.09
2025-2026,fall,M,Division II State,200 Freestyle Relay,1:38.93
2025-2026,fall,M,Division II State,100 Backstroke,1:01.47
2025-2026,fall,M,Division II State,100 Breaststroke,1:08.21
2025-2026,fall,M,Division II State,400 Freestyle Relay,3:49.90
2025-2026,winter,F,North Sectional,200 Medley Relay,2:15.35
2025-2026,winter,F,North Sectional,200 Freestyle,2:11.48
2025-2026,winter,F,North Sectional,200 Individual Medley,2:29.73
2025-2026,winter,F,North Sectional,50 Freestyle,26.98
2025-2026,winter,F,North Sectional,Diving,180 x 2
2025-2026,winter,F,North Sectional,100 Butterfly,1:07.32
2025-2026,winter,F,North Sectional,100 Freestyle,59.85
2025-2026,winter,F,North Sectional,500 Freestyle,6:02.47
2025-2026,winter,F,North Sectional,200 Freestyle Relay,1:58.71
2025-2026,winter,F,North Sectional,100 Backstroke,1:08.26
2025-2026,winter,F,North Sectional,100 Breaststroke,1:18.13
2025-2026,winter,F,North Sectional,400 Freestyle Relay,4:26.48
2025-2026,winter,F,Central/West Sectional,200 Medley Relay,2:10.81
2025-2026,winter,F,Central/West Sectional,200 Freestyle,2:15.62
2025-2026,winter,F,Central/West Sectional,200 Individual Medley,2:34.84
2025-2026,winter,F,Central/West Sectional,50 Freestyle,27.27
2025-2026,winter,F,Central/West Sectional,Diving,150 x 2
2025-2026,winter,F,Central/West Sectional,100 Butterfly,1:08.74
2025-2026,winter,F,Central/West Sectional,100 Freestyle,1:00.33
2025-2026,winter,F,Central/West Sectional,500 Freestyle,6:03.67
2025-2026,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2025-2026,winter,F,Central/West Sectional,100 Backstroke,1:10.09
2025-2026,winter,F,Central/West Sectional,100 Breaststroke,1:18.91
2025-2026,winter,F,Central/West Sectional,400 Freestyle Relay,4:20.80
2025-2026,winter,F,South Sectional,200 Medley Relay,2:06.73
2025-2026,winter,F,South Sectional,200 Freestyle,2:12.57
2025-2026,winter,F,South Sectional,200 Individual Medley,2:30.13
2025-2026,winter,F,South Sectional,50 Freestyle,27.14
2025-2026,winter,F,South Sectional,Diving,175 x 2
2025-2026,winter,F,South Sectional,100 Butterfly,1:07.12
2025-2026,winter,F,South Sectional,100 Freestyle,1:00.46
2025-2026,winter,F,South Sectional,500 Freestyle,5:58.37
2025-2026,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2025-2026,winter,F,South Sectional,100 Backstroke,1:08.98
2025-2026,winter,F,South Sectional,100 Breaststroke,1:19.12
2025-2026,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2025-2026,winter,F,Division I State,200 Medley Relay,2:06.46
2025-2026,winter,F,Division I State,200 Freestyle,2:10.09
2025-2026,winter,F,Division I State,200 Individual Medley,2:28.19
2025-2026,winter,F,Division I State,50 Freestyle,26.84
2025-2026,winter,F,Division I State,Diving,185 x 2
2025-2026,winter,F,Division I State,100 Butterfly,1:06.85
2025-2026,winter,F,Division I State,100 Freestyle,59.35
2025-2026,winter,F,Division I State,500 Freestyle,5:47.47
2025-2026,winter,F,Division I State,200 Freestyle Relay,1:51.83
2025-2026,winter,F,Division I State,100 Backstroke,1:07.18
2025-2026,winter,F,Division I State,100 Breaststroke,1:17.48
2025-2026,winter,F,Division I State,400 Freestyle Relay,4:06.60
2025-2026,winter,F,Division II State,200 Medley Relay,2:04.40
2025-2026,winter,F,Division II State,200 Freestyle,2:09.51
2025-2026,winter,F,Division II State,200 Individual Medley,2:27.17
2025-2026,winter,F,Division II State,50 Freestyle,26.84
2025-2026,winter,F,Division II State,Diving,190 x 2
2025-2026,winter,F,Division II State,100 Butterfly,1:06.42
2025-2026,winter,F,Division II State,100 Freestyle,59.35
2025-2026,winter,F,Division II State,500 Freestyle,5:48.37
2025-2026,winter,F,Division II State,200 Freestyle Relay,1:51.83
2025-2026,winter,F,Division II State,100 Backstroke,1:07.48
2025-2026,winter,F,Division II State,100 Breaststroke,1:17.16
2025-2026,winter,F,Division II State,400 Freestyle Relay,4:05.35
2025-2026,winter,M,North Sectional,200 Medley Relay,1:52.61
2025-2026,winter,M,North Sectional,200 Freestyle,1:57.59
2025-2026,winter,M,North Sectional,200 Individual Medley,2:13.03
2025-2026,winter,M,North Sectional,50 Freestyle,24.03
2025-2026,winter,M,North Sectional,Diving,180 x 2
2025-2026,winter,M,North Sectional,100 Butterfly,59.10
2025-2026,winter,M,North Sectional,100 Freestyle,52.91
2025-2026,winter,M,North Sectional,500 Freestyle,5:24.25
2025-2026,winter,M,North Sectional,200 Freestyle Relay,1:40.52
2025-2026,winter,M,North Sectional,100 Backstroke,1:00.67
2025-2026,winter,M,North Sectional,100 Breaststroke,1:07.73
2025-2026,winter,M,North Sectional,400 Freestyle Relay,3:42.67
2025-2026,winter,M,Central/West Sectional,200 Medley Relay,1:59.59
2025-2026,winter,M,Central/West Sectional,200 Freestyle,2:04.99
2025-2026,winter,M,Central/West Sectional,200 Individual Medley,2:22.18
2025-2026,winter,M,Central/West Sectional,50 Freestyle,24.98
2025-2026,winter,M,Central/West Sectional,Diving,150 x 2
2025-2026,winter,M,Central/West Sectional,100 Butterfly,1:03.74
2025-2026,winter,M,Central/West Sectional,100 Freestyle,54.88
2025-2026,winter,M,Central/West Sectional,500 Freestyle,5:45.82
2025-2026,winter,M,Central/West Sectional,200 Freestyle Relay,1:45.93
2025-2026,winter,M,Central/West Sectional,100 Backstroke,1:06.68
2025-2026,winter,M,Central/West Sectional,100 Breaststroke,1:10.72
2025-2026,winter,M,Central/West Sectional,400 Freestyle Relay,4:08.35
2025-2026,winter,M,South Sectional,200 Medley Relay,1:52.99
2025-2026,winter,M,South Sectional,200 Freestyle,1:59.02
2025-2026,winter,M,South Sectional,200 Individual Medley,2:15.12
2025-2026,winter,M,South Sectional,50 Freestyle,24.28
2025-2026,winter,M,South Sectional,Diving,175 x 2
2025-2026,winter,M,South Sectional,100 Butterfly,59.32
2025-2026,winter,M,South Sectional,100 Freestyle,53.39
2025-2026,winter,M,South Sectional,500 Freestyle,5:29.94
2025-2026,winter,M,South Sectional,200 Freestyle Relay,1:40.74
2025-2026,winter,M,South Sectional,100 Backstroke,1:02.49
2025-2026,winter,M,South Sectional,100 Breaststroke,1:09.07
2025-2026,winter,M,South Sectional,400 Freestyle Relay,3:42.62
2025-2026,winter,M,Division I State,200 Medley Relay,1:48.18
2025-2026,winter,M,Division I State,200 Freestyle,1:54.11
2025-2026,winter,M,Division I State,200 Individual Medley,2:08.94
2025-2026,winter,M,Division I State,50 Freestyle,23.38
2025-2026,winter,M,Division I State,Diving,193 x 2
2025-2026,winter,M,Division I State,100 Butterfly,56.97
2025-2026,winter,M,Division I State,100 Freestyle,51.66
2025-2026,winter,M,Division I State,500 Freestyle,5:15.36
2025-2026,winter,M,Division I State,200 Freestyle Relay,1:36.86
2025-2026,winter,M,Division I State,100 Backstroke,58.96
2025-2026,winter,M,Division I State,100 Breaststroke,1:04.88
2025-2026,winter,M,Division I State,400 Freestyle Relay,3:35.42
2025-2026,winter,M,Division II State,200 Medley Relay,1:49.80
2025-2026,winter,M,Division II State,200 Freestyle,1:56.97
2025-2026,winter,M,Division II State,200 Individual Medley,2:12.75
2025-2026,winter,M,Division II State,50 Freestyle,23.68
2025-2026,winter,M,Division II State,Diving,188 x 2
2025-2026,winter,M,Division II State,100 Butterfly,58.03
2025-2026,winter,M,Division II State,100 Freestyle,51.99
2025-2026,winter,M,Division II State,500 Freestyle,5:22.66
2025-2026,winter,M,Division II State,200 Freestyle Relay,1:38.03
2025-2026,winter,M,Division II State,100 Backstroke,59.96
2025-2026,winter,M,Division II State,100 Breaststroke,1:07.21
2025-2026,winter,M,Division II State,400 Freestyle Relay,3:41.55
2024-2025,fall,F,North Sectional,200 Medley Relay,2:16.78
2024-2025,fall,F,North Sectional,200 Freestyle,2:13.29
2024-2025,fall,F,North Sectional,200 Individual Medley,2:31.64
2024-2025,fall,F,North Sectional,50 Freestyle,27.62
2024-2025,fall,F,North Sectional,Diving,175 x 2
2024-2025,fall,F,North Sectional,100 Butterfly,1:08.90
2024-2025,fall,F,North Sectional,100 Freestyle,1:00.84
2024-2025,fall,F,North Sectional,500 Freestyle,6:04.23
2024-2025,fall,F,North Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,F,North Sectional,100 Backstroke,1:08.76
2024-2025,fall,F,North Sectional,100 Breaststroke,1:19.23
2024-2025,fall,F,North Sectional,400 Freestyle Relay,4:25.59
2024-2025,fall,F,South Sectional,200 Medley Relay,2:15.55
2024-2025,fall,F,South Sectional,200 Freestyle,2:13.29
2024-2025,fall,F,South Sectional,200 Individual Medley,2:32.98
2024-2025,fall,F,South Sectional,50 Freestyle,27.53
2024-2025,fall,F,South Sectional,Diving,175 x 2
2024-2025,fall,F,South Sectional,100 Butterfly,1:09.51
2024-2025,fall,F,South Sectional,100 Freestyle,1:00.58
2024-2025,fall,F,South Sectional,500 Freestyle,6:04.23
2024-2025,fall,F,South Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,F,South Sectional,100 Backstroke,1:08.76
2024-2025,fall,F,South Sectional,100 Breaststroke,1:20.46
2024-2025,fall,F,South Sectional,400 Freestyle Relay,4:24.53
2024-2025,fall,F,Division I State,200 Medley Relay,2:08.27
2024-2025,fall,F,Division I State,200 Freestyle,2:11.02
2024-2025,fall,F,Division I State,200 Individual Medley,2:27.05
2024-2025,fall,F,Division I State,50 Freestyle,26.95
2024-2025,fall,F,Division I State,Diving,185 x 2
2024-2025,fall,F,Division I State,100 Butterfly,1:07.57
2024-2025,fall,F,Division I State,100 Freestyle,59.55
2024-2025,fall,F,Division I State,500 Freestyle,5:48.99
2024-2025,fall,F,Division I State,200 Freestyle Relay,1:56.31
2024-2025,fall,F,Division I State,100 Backstroke,1:07.75
2024-2025,fall,F,Division I State,100 Breaststroke,1:16.52
2024-2025,fall,F,Division I State,400 Freestyle Relay,4:13.48
2024-2025,fall,F,Division II State,200 Medley Relay,2:12.18
2024-2025,fall,F,Division II State,200 Freestyle,2:11.69
2024-2025,fall,F,Division II State,200 Individual Medley,2:30.45
2024-2025,fall,F,Division II State,50 Freestyle,27.25
2024-2025,fall,F,Division II State,Diving,185 x 2
2024-2025,fall,F,Division II State,100 Butterfly,1:08.08
